Name,State/ Territory,Category,Policy/Incentive Type,Created,Last Updated,Details
City of Friendswood - Property Tax Abatement for Green Commercial Buildings,TX,Financial Incentive,Property Tax Incentive,09/15/2011,07/08/2020,https://programs.dsireusa.org/system/program/detail/5008/city-of-friendswood-property-tax-abatement-for-green-commercial-buildings
City of Cleveland - Residential Property Tax Abatement for Green Buildings,OH,Financial Incentive,Property Tax Incentive,05/12/2010,10/15/2024,https://programs.dsireusa.org/system/program/detail/4146/city-of-cleveland-residential-property-tax-abatement-for-green-buildings
City of Cincinnati - Property Tax Abatement for Green Buildings,OH,Financial Incentive,Property Tax Incentive,11/20/2007,10/15/2024,https://programs.dsireusa.org/system/program/detail/2809/city-of-cincinnati-property-tax-abatement-for-green-buildings
City of Baltimore - High-Performance Market-Rate Rental Housing Property Tax Credit,MD,Financial Incentive,Property Tax Incentive,07/24/2024,07/24/2024,https://programs.dsireusa.org/system/program/detail/22677/city-of-baltimore-high-performance-market-rate-rental-housing-property-tax-credit
City and County of Honolulu - Real Property Tax Exemption for Renewable Energy Property,HI,Financial Incentive,Property Tax Incentive,09/23/2009,10/25/2024,https://programs.dsireusa.org/system/program/detail/3684/city-and-county-of-honolulu-real-property-tax-exemption-for-renewable-energy-property
Biomass Gasification and Methane Digester Property Tax Exemption,MI,Financial Incentive,Property Tax Incentive,02/03/2009,10/15/2024,https://programs.dsireusa.org/system/program/detail/3243/biomass-gasification-and-methane-digester-property-tax-exemption
"Biogas, Solar, and Wind Energy Equipment Exemption",WI,Financial Incentive,Property Tax Incentive,01/01/2000,08/16/2024,https://programs.dsireusa.org/system/program/detail/178/biogas-solar-and-wind-energy-equipment-exemption
Baltimore County - Property Tax Credit for Solar and Geothermal Devices,MD,Financial Incentive,Property Tax Incentive,11/07/2011,07/07/2020,https://programs.dsireusa.org/system/program/detail/5042/baltimore-county-property-tax-credit-for-solar-and-geothermal-devices
Baltimore County - Property Tax Credit for High Performance Buildings and Homes,MD,Financial Incentive,Property Tax Incentive,09/15/2010,11/20/2024,https://programs.dsireusa.org/system/program/detail/4341/baltimore-county-property-tax-credit-for-high-performance-buildings-and-homes
Assessment of Farmland Hosting Renewable Energy Systems,NJ,Financial Incentive,Property Tax Incentive,03/16/2010,03/18/2025,https://programs.dsireusa.org/system/program/detail/4026/assessment-of-farmland-hosting-renewable-energy-systems
Anne Arundel County - Solar and Geothermal Equipment Property Tax Credits,MD,Financial Incentive,Property Tax Incentive,04/04/2008,07/07/2020,https://programs.dsireusa.org/system/program/detail/2908/anne-arundel-county-solar-and-geothermal-equipment-property-tax-credits
Anne Arundel County - High Performance Dwelling Property Tax Credit,MD,Financial Incentive,Property Tax Incentive,01/28/2011,07/06/2020,https://programs.dsireusa.org/system/program/detail/4577/anne-arundel-county-high-performance-dwelling-property-tax-credit
Alternative Energy Property Tax Exemption,MI,Financial Incentive,Property Tax Incentive,03/12/2021,08/15/2024,https://programs.dsireusa.org/system/program/detail/22142/alternative-energy-property-tax-exemption
Active Solar Heating and Cooling Systems Exemption,NC,Financial Incentive,Property Tax Incentive,01/01/2000,10/25/2024,https://programs.dsireusa.org/system/program/detail/183/active-solar-heating-and-cooling-systems-exemption
